type,latitude,longitude,alt,name,color
T,-32.672613,-69.117865,2938,,red
type,latitude,longitude,alt,name,color
T,-32.672351,-69.117729,2939.1,,blue
T,-32.672164,-69.117522,2940.2,,blue
T,-32.671973,-69.117372,2941.3,,blue
T,-32.671813,-69.117206,2942.4,,blue
T,-32.671613,-69.117073,2943.5,,blue
T,-32.67146,-69.116873,2944.6,,blue
T,-32.67124,-69.116748,2945.7,,blue
T,-32.67108,-69.116654,2946.8,,blue
T,-32.670955,-69.116515,2947.9,,blue
T,-32.670686,-69.116437,2949,,blue
T,-32.670408,-69.1164,2950.2,,blue
T,-32.670223,-69.116416,2951.3,,blue
T,-32.670039,-69.116432,2952.5,,blue
T,-32.669847,-69.116349,2953.7,,blue
T,-32.669612,-69.116302,2954.7,,blue
T,-32.669449,-69.116248,2955.7,,blue
T,-32.669261,-69.116215,2956.8,,blue
T,-32.669127,-69.116204,2957.9,,blue
T,-32.669042,-69.116219,2959.1000000000004,,blue
T,-32.66894,-69.116239,2960.4,,blue
T,-32.668812,-69.116246,2961.5,,blue
T,-32.668737,-69.116256,2962.4,,blue
T,-32.668666,-69.116259,2962.9,,blue
T,-32.668648,-69.116273,2963.5,,blue
T,-32.668562,-69.116288,2964.6,,blue
T,-32.668446,-69.116302,2965.8,,blue
T,-32.66835,-69.116314,2967,,blue
T,-32.668255,-69.116334,2968.1,,blue
T,-32.668146,-69.116343,2969.1,,blue
T,-32.668041,-69.116351,2970.1,,blue
T,-32.667956,-69.116349,2971.2,,blue
T,-32.667881,-69.116341,2972.3,,blue
T,-32.667833,-69.116323,2973.4,,blue
T,-32.667766,-69.116301,2974.6,,blue
T,-32.667697,-69.116268,2975.7,,blue
T,-32.667642,-69.116234,2976.8,,blue
T,-32.667526,-69.116229,2978,,blue
T,-32.667443,-69.116229,2978.6,,blue
T,-32.667432,-69.116225,2978.6,,blue
T,-32.66741,-69.116223,2979.1,,blue
T,-32.667314,-69.116215,2979.6,,blue
T,-32.667292,-69.116081,2979.2,,blue
T,-32.666742,-69.116086,2978.7,,blue
T,-32.666518,-69.116124,2978.1,,blue
T,-32.666406,-69.116155,2977,,blue
T,-32.666334,-69.116176,2975.9,,blue
T,-32.666264,-69.116242,2975.9,,blue
T,-32.666066,-69.116247,2976.6000000000004,,blue
T,-32.666024,-69.116246,2977.2,,blue
T,-32.665984,-69.11623,2978.1,,blue
T,-32.665856,-69.116269,2979.2,,blue
T,-32.665683,-69.116308,2980.3,,blue
T,-32.665367,-69.116301,2981.3,,blue
T,-32.665271,-69.116299,2982.3,,blue
T,-32.665178,-69.116455,2982.5,,blue
T,-32.664663,-69.116507,2981.8,,blue
T,-32.664627,-69.116562,2980.7,,blue
T,-32.664587,-69.116608,2979.4,,blue
T,-32.664542,-69.116636,2978.2,,blue
T,-32.664506,-69.116657,2977.1,,blue
T,-32.664468,-69.116705,2976.1,,blue
T,-32.66438,-69.116758,2975,,blue
T,-32.66429,-69.116839,2975.2,,blue
T,-32.66397,-69.116836,2976.7,,blue
T,-32.663912,-69.116832,2977.9,,blue
T,-32.663834,-69.116845,2977.8,,blue
T,-32.663709,-69.116848,2976.8999999999996,,blue
T,-32.663669,-69.116847,2976.3,,blue
T,-32.663632,-69.116845,2975.4,,blue
T,-32.663558,-69.116809,2975.3,,blue
